,timepoint,centroid-0,centroid-1,centroid-2,size,min_intensity,max_intensity,mean_intensity,var_intensity,mean_background_intensity,SNR
1655,3.0,42.0,36.0,99.0,8.485281374238571,0.0,0.1496124267578125,0.01111117276278409,0.0006308736818869529,0.0005947113037109375,18.68330514898828
1659,3.0,0.0,20.0,70.0,8.485281374238571,0.0,0.17962265014648438,0.014133283827039931,0.0011116068341688792,0.008626593164650791,1.6383389777732789
1676,3.0,61.0,25.0,99.0,8.485281374238571,0.0,0.16400909423828125,0.014350166005536544,0.0008765484100339615,0.0003198848051183364,44.8604178001763
1755,3.0,99.0,82.0,37.0,8.485281374238571,0.0,0.17992401123046875,0.011986219618055556,0.0008368121112771563,0.003059415932161262,3.917813034852092
1816,3.0,4.0,0.0,3.0,8.485281374238571,0.0,0.148651123046875,0.010667151147192652,0.0007339128492202224,0.001278345309310223,8.344498993740975
2031,4.0,0.0,79.0,0.0,8.485281374238571,0.0,0.43476104736328125,0.047330178505133005,0.008835925173964698,0.0018403445973115809,25.71810658410064
2032,4.0,99.0,27.0,24.0,8.485281374238571,0.0,0.49334716796875,0.027025604248046876,0.006887179266066394,0.004200378096247294,6.43408846270104
2033,4.0,99.0,0.0,99.0,8.485281374238571,0.0,0.4616584777832031,0.022965181790865385,0.0059384564752208305,0.004111213245611081,5.585986524873607
2034,4.0,32.0,55.0,99.0,8.485281374238571,0.0,0.4359855651855469,0.01846212592006715,0.004141027913065308,0.0010853486902573529,17.01031759267107
2035,4.0,99.0,79.0,99.0,8.485281374238571,0.0,0.396484375,0.014889992958258005,0.003260814231027356,0.0029593636007869944,5.0314847943315435
2036,4.0,0.0,99.0,41.0,8.485281374238571,0.0,0.49835968017578125,0.020570234818892044,0.0053806444670916505,0.0015972361845128676,12.878643132647065
2037,4.0,99.0,99.0,18.0,8.485281374238571,0.0,0.4227256774902344,0.016532582684981922,0.0037179420588598602,0.008186104718376608,2.019590910908908
2038,4.0,99.0,99.0,80.0,8.485281374238571,0.0,0.3382415771484375,0.014239066888478176,0.0024152026985166442,0.004059814004337086,3.507320008568527
